market,period,state,info,side,vbar,re_price,second_val,span_francs,band_lo_price,band_hi_price,band_lo_D,band_hi_D,band_width_D,band_width_francs,dot_quality_flag,count_uncertain,flagged,mean_printed,mean_digitized,mean_residual,n_trades,D_first,D_last,D_mean,D_min,D_max,D_change,p_first,p_last,p_mean,francs_first,francs_last,francs_change,gap_francs_first,gap_francs_last,slope_D_per_trade,p_slope_trade,slope_D_per_norm,p_slope_norm,slope_francs_per_trade,slope_D_norm_h1,p_slope_h1,slope_D_norm_h2,p_slope_h2,slope_D_trade_h1,slope_D_trade_h2,D_h1_mean,D_h2_mean,D_dec1,D_dec2,D_dec3,D_dec4,D_dec5,D_dec6,D_dec7,D_dec8,D_dec9,D_dec10,D_qui1,D_qui2,D_qui3,D_qui4,D_qui5,n_in_band,frac_in_band,ttb_index,ttb_frac,reached_band,ended_in_band,tt80_index,tt80_frac,reached_D80,ended_D80,ttn_index,ttn_frac,reached_near,ended_near,n_beyond_RE,frac_beyond_RE,any_beyond_RE,k_side,k_state,layer,source,band_degenerate
1,11,Y,all,buyer,283.3333333333333,349.30795847750863,299.8269896193772,65.97462514417532,299.8269896193772,349.30795847750863,0.25000000000000044,1.0,0.7499999999999996,49.48096885813146,ok,False,False,347.0,344.946,-2.054,11,0.2673250000000007,0.9466770979020984,0.9338622536554357,0.2673250000000007,1.0961284965034963,0.6793520979020977,300.97,345.79,344.94454545454545,17.636666666666713,62.456666666666706,44.81999999999999,48.33795847750861,3.517958477508614,0.028845801017164663,0.1944429667857781,0.28845801017164663,0.1944429667857782,1.9030909090909098,1.203146553446553,0.10651296787648765,-0.08018234265734235,0.5965680247106383,0.12031465534465528,-0.008018234265734238,0.8990830419580421,0.9755973076923082,0.2673250000000007,0.958348251748252,1.0217059440559444,1.0247374125874127,1.0961284965034963,1.0262531468531475,1.021402797202798,0.9465255244755243,0.9475865384615391,0.9812358391608397,0.6128366258741264,1.0232216783216785,1.061190821678322,0.9839641608391612,0.9700194055944061,5.0,0.45454545454545453,1.0,0.09090909090909091,True,True,2.0,0.18181818181818182,True,True,1.0,0.09090909090909091,True,True,6.0,0.5454545454545454,True,,,L2_human_digitized,out/human_trades.csv,False
2,1,X,none,,266.66666666666663,266.66666666666663,266.66666666666663,0.0,266.66666666666663,266.66666666666663,,,,0.0,ok,False,False,255.0,256.311,1.311,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L2_human_digitized,out/human_trades.csv,False
2,2,X,none,,266.66666666666663,266.66666666666663,266.66666666666663,0.0,266.66666666666663,266.66666666666663,,,,0.0,ok,False,False,251.0,250.057,-0.943,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L2_human_digitized,out/human_trades.csv,False
2,3,Y,none,,266.66666666666663,266.66666666666663,266.66666666666663,0.0,266.66666666666663,266.66666666666663,,,,0.0,ok,False,False,258.0,258.97,0.97,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L2_human_digitized,out/human_trades.csv,False
2,4,Y,none,,266.66666666666663,266.66666666666663,266.66666666666663,0.0,266.66666666666663,266.66666666666663,,,,0.0,ok,False,False,265.0,263.277,-1.723,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L2_human_digitized,out/human_trades.csv,False
2,5,Y,all,buyer,266.66666666666663,350.0,300.0,83.33333333333337,300.0,350.0,0.4000000000000003,1.0,0.5999999999999996,50.0,ok,False,False,304.0,304.457,0.457,15,0.0632800000000004,0.5765199999999999,0.4534880000000002,0.0632800000000004,0.5765199999999999,0.5132399999999995,271.94,314.71,304.45733333333334,5.273333333333369,48.04333333333335,42.76999999999998,78.06,35.29000000000002,0.02310300000000001,0.0005530788613287537,0.3234420000000002,0.0005530788613287537,1.9252500000000015,0.7166999999999996,0.011208141973705187,0.10968000000000033,0.04301858295218753,0.05119285714285712,0.007834285714285738,0.3851650000000001,0.5315714285714288,0.16948000000000027,0.39508,0.45532000000000006,0.4586800000000001,0.51568,0.4897600000000001,0.5173599999999999,0.5235400000000004,0.5197600000000004,0.5597800000000002,0.24468000000000015,0.45644,0.4984,0.5214800000000003,0.5464400000000003,11.0,0.7333333333333333,5.0,0.3333333333333333,True,True,,,False,False,5.0,0.3333333333333333,True,True,0.0,0.0,False,,,L2_human_digitized,out/human_trades.csv,False
2,6,Y,all,buyer,266.66666666666663,350.0,300.0,83.33333333333337,300.0,350.0,0.4000000000000003,1.0,0.5999999999999996,50.0,ok,False,False,337.0,337.284,0.284,15,0.6980799999999998,0.9390400000000002,0.8474160000000002,0.6980799999999998,0.9702399999999998,0.2409600000000004,324.84,344.92,337.2846666666667,58.173333333333346,78.25333333333339,20.08000000000004,25.160000000000025,5.079999999999984,0.020990999999999982,1.6134924843871858e-08,0.2938739999999998,1.6134924843871623e-08,1.7492499999999993,0.37868,0.0002653991334196044,0.13793999999999998,0.0657765179164667,0.027048571428571432,0.009852857142857139,0.7729900000000001,0.9324742857142857,0.6981400000000001,0.6983200000000003,0.78742,0.8198800000000002,0.8200000000000001,0.87616,0.9365199999999998,0.9325000000000001,0.9387999999999997,0.9546399999999999,0.6982000000000003,0.7982400000000002,0.8574400000000001,0.93384,0.94936,15.0,1.0,1.0,0.06666666666666667,True,True,5.0,0.3333333333333333,True,True,1.0,0.06666666666666667,True,True,0.0,0.0,False,,,L2_human_digitized,out/human_trades.csv,False
2,7,X,insider,seller,266.66666666666663,240.0,200.0,-26.66666666666663,200.0,240.0,1.0,2.500000000000002,1.5000000000000022,40.0,ok,False,False,307.0,307.922,0.922,18,-1.983875000000004,-1.6205000000000036,-1.547083333333337,-1.9842500000000036,-1.2428750000000033,0.36337500000000045,319.57,309.88,307.9222222222222,52.903333333333364,43.21333333333337,-9.689999999999998,79.57,69.88,0.035077399380805,0.0005912395471073524,0.5963157894736849,0.0005912395471073567,-0.9353973168214653,0.9395687500000022,0.07344517126718295,0.43126875000000336,0.2865153218063105,0.05526875000000013,0.0253687500000002,-1.6971666666666703,-1.3970000000000036,-1.9840625000000038,-1.7982500000000041,-1.4309375000000029,-1.6178750000000037,-1.6150625000000032,-1.6115000000000044,-1.4255000000000038,-1.2869375000000036,-1.243062500000003,-1.432250000000003,-1.8911562500000039,-1.4932500000000033,-1.6132812500000038,-1.3331250000000037,-1.3376562500000029,0.0,0.0,,,False,False,,,False,False,,,False,False,0.0,0.0,False,1.0,1.0,L2_human_digitized,out/human_trades.csv,False
2,8,Y,insider,buyer,266.66666666666663,350.0,300.0,83.33333333333337,300.0,350.0,0.4000000000000003,1.0,0.5999999999999996,50.0,ok,False,False,328.0,328.009,0.009,19,0.6390400000000004,0.5132800000000002,0.7361010526315791,0.5132800000000002,0.8746000000000002,-0.1257600000000002,319.92,309.44,328.00842105263155,53.25333333333339,42.77333333333337,-10.480000000000018,30.079999999999984,40.56,-0.003326315789473688,0.4524604206448273,-0.05987368421052635,0.4524604206448274,-0.27719298245614066,0.3478909090909094,2.558549424916709e-06,-0.8691120000000001,7.347715125454521e-05,0.019327272727272752,-0.048283999999999994,0.7423480000000002,0.72916,0.6668800000000003,0.6968799999999999,0.7556800000000004,0.7680400000000003,0.8146000000000002,0.8531800000000003,0.8483800000000001,0.78784,0.6652,0.5435800000000002,0.68188,0.7618600000000003,0.8403200000000002,0.8181100000000001,0.6043900000000002,19.0,1.0,1.0,0.05263157894736842,True,True,9.0,0.47368421052631576,True,False,1.0,0.05263157894736842,True,True,0.0,0.0,False,1.0,1.0,L2_human_digitized,out/human_trades.csv,False
2,9,X,insider,seller,266.66666666666663,240.0,200.0,-26.66666666666663,200.0,240.0,1.0,2.500000000000002,1.5000000000000022,40.0,ok,False,False,267.0,269.797,2.797,12,-1.967375000000004,1.3795000000000006,-0.11737500000000141,-1.967375000000004,1.3806250000000007,3.3468750000000047,319.13,229.88,269.7966666666667,52.46333333333337,-36.78666666666663,-89.25,79.13,10.120000000000005,0.3466442307692312,2.7163538482298012e-08,3.8130865384615436,2.7163538482298012e-08,-9.243846153846153,3.465589285714289,0.00018302318563402387,3.1874464285714335,0.034244396109467834,0.31505357142857177,0.2897678571428576,-1.2003125000000028,0.9655624999999999,-1.8811250000000035,-1.245500000000003,-1.056500000000002,-0.6522500000000024,-0.4853750000000026,0.02012499999999878,0.26649999999999885,1.372,1.3746250000000009,1.3800625000000006,-1.6692500000000035,-0.8543750000000022,-0.2326250000000019,0.8192499999999995,1.3782500000000006,4.0,0.3333333333333333,9.0,0.75,True,True,9.0,0.75,True,True,6.0,0.5,True,True,4.0,0.3333333333333333,True,2.0,2.0,L2_human_digitized,out/human_trades.csv,False
