market,period,info,side,n,vbar,re,first,last,mean,francs_change,slope_f,first_minus_vbar,mean_minus_vbar,flag
2,7,insider,seller,18,266.6667,240.0,319.57,309.88,307.9222222222222,-9.689999999999998,-15.901754385964963,52.9033,41.255522222222226,ok
2,8,insider,buyer,19,266.6667,350.0,319.92,309.44,328.00842105263155,-10.480000000000018,-4.989473684210541,53.253300000000024,61.341721052631556,ok
2,9,insider,seller,12,266.6667,240.0,319.13,229.88,269.7966666666667,-89.25,-101.68230769230766,52.463300000000004,3.1299666666666894,ok
2,10,insider,buyer,17,266.6667,350.0,319.55,314.2,327.89647058823533,-5.350000000000023,-1.3082352941176523,52.88330000000002,61.22977058823534,ok
2,11,insider,buyer,20,266.6667,350.0,324.41,339.72,334.56950000000006,15.310000000000002,18.901857142857025,57.74330000000003,67.90280000000007,ok
3,1,none,,12,220.0,220.0,245.33,200.01,234.06166666666664,-45.32000000000002,-26.99153846153843,25.330000000000013,14.061666666666639,"count_uncertain:2@240,2@230"
3,2,none,,15,220.0,220.0,200.21,210.11,217.03866666666667,9.900000000000006,-2.903999999999998,-19.789999999999992,-2.9613333333333287,"count_uncertain:4@220,4@220;unmatched_band:219.5"
3,3,insider,seller,14,220.0,175.0,200.03,170.09,189.63642857142855,-29.939999999999998,-42.378,-19.97,-30.363571428571447,ok
3,4,insider,buyer,19,220.0,400.0,260.24,395.13,332.8878947368421,134.89,133.49368421052628,40.24000000000001,112.8878947368421,count_uncertain:2@350
3,5,insider,seller,15,220.0,175.0,149.91,168.8,162.74800000000005,18.890000000000015,10.700499999999998,-70.09,-57.25199999999995,"count_uncertain:3@150,3@160,2@165"
3,6,insider,seller,14,220.0,175.0,199.6,169.62,172.74857142857144,-29.97999999999999,-22.33600000000006,-20.400000000000006,-47.25142857142856,"count_uncertain:4@165,3@170"
3,7,insider,buyer,19,220.0,400.0,200.28,398.73,363.85789473684207,198.45000000000002,140.10000000000008,-19.72,143.85789473684207,"count_uncertain:2@395,5@395,3@399"
