market,period,trade_index,n_trades_in_period,price,state,info,vbar,re_price,pi_price,side,D,separating,period_mean_digitized,period_mean_printed,mean_residual,dot_quality_flag,_k,vb,sp,sd,flg,cu,Dc,u,buy,pid
3,6,6,14,160.44,Y,insider,220.0,175.0,220.0,seller,1.32356,True,172.748,173.0,-0.252,"count_uncertain:4@165,3@170","(3, 6)",220.0,-45.0,seller,False,True,1.3235555555555556,0.38461538461538464,0.0,306
3,6,7,14,164.88,Y,insider,220.0,175.0,220.0,seller,1.22487,True,172.748,173.0,-0.252,"count_uncertain:4@165,3@170","(3, 6)",220.0,-45.0,seller,False,True,1.224888888888889,0.46153846153846156,0.0,306
3,6,8,14,164.88,Y,insider,220.0,175.0,220.0,seller,1.22487,True,172.748,173.0,-0.252,"count_uncertain:4@165,3@170","(3, 6)",220.0,-45.0,seller,False,True,1.224888888888889,0.5384615384615384,0.0,306
3,6,9,14,164.88,Y,insider,220.0,175.0,220.0,seller,1.22487,True,172.748,173.0,-0.252,"count_uncertain:4@165,3@170","(3, 6)",220.0,-45.0,seller,False,True,1.224888888888889,0.6153846153846154,0.0,306
3,6,10,14,164.88,Y,insider,220.0,175.0,220.0,seller,1.22487,True,172.748,173.0,-0.252,"count_uncertain:4@165,3@170","(3, 6)",220.0,-45.0,seller,False,True,1.224888888888889,0.6923076923076923,0.0,306
3,6,11,14,169.34,Y,insider,220.0,175.0,220.0,seller,1.12582,True,172.748,173.0,-0.252,"count_uncertain:4@165,3@170","(3, 6)",220.0,-45.0,seller,False,True,1.1257777777777778,0.7692307692307693,0.0,306
3,6,12,14,169.62,Y,insider,220.0,175.0,220.0,seller,1.11962,True,172.748,173.0,-0.252,"count_uncertain:4@165,3@170","(3, 6)",220.0,-45.0,seller,False,True,1.1195555555555554,0.8461538461538461,0.0,306
3,6,13,14,169.62,Y,insider,220.0,175.0,220.0,seller,1.11962,True,172.748,173.0,-0.252,"count_uncertain:4@165,3@170","(3, 6)",220.0,-45.0,seller,False,True,1.1195555555555554,0.9230769230769231,0.0,306
3,6,14,14,169.62,Y,insider,220.0,175.0,220.0,seller,1.11962,True,172.748,173.0,-0.252,"count_uncertain:4@165,3@170","(3, 6)",220.0,-45.0,seller,False,True,1.1195555555555554,1.0,0.0,306
3,7,1,19,200.28,X,insider,220.0,400.0,400.0,buyer,-0.10954,False,363.858,364.0,-0.142,"count_uncertain:2@395,5@395,3@399","(3, 7)",220.0,180.0,buyer,False,True,-0.10955555555555554,0.0,1.0,307
3,7,2,19,240.04,X,insider,220.0,400.0,400.0,buyer,0.11135,False,363.858,364.0,-0.142,"count_uncertain:2@395,5@395,3@399","(3, 7)",220.0,180.0,buyer,False,True,0.11133333333333328,0.05555555555555555,1.0,307
