group,run_id,session,market,seed,period,state,side,uninformed_level,re,mean_price,discovery,n_trades,first_price,last_price,first_discovery,last_discovery,change_discovery
disclosed,m7_disc_42,0,A,42,10,Y,seller,260.0,160,209.7,0.503,3,244,191,0.16,0.69,0.53
disclosed,m7_disc_42,0,A,42,11,X,buyer,260.0,360,277.0,0.17,20,250,300,-0.1,0.4,0.5
disclosed,m7_disc_42,0,A,42,12,X,buyer,260.0,360,288.2,0.282,21,200,300,-0.6,0.4,1.0
disclosed,m7_disc_42,0,A,42,13,X,buyer,260.0,360,312.4,0.524,17,300,319,0.4,0.59,0.19
disclosed,m8_disc_42,0,B,42,5,Y,seller,300.0,200,237.6,0.624,23,260,82,0.4,2.18,1.78
disclosed,m8_disc_42,0,B,42,6,Y,seller,300.0,200,199.1,1.009,23,250,100,0.5,2.0,1.5
disclosed,m8_disc_42,0,B,42,7,X,buyer,300.0,400,344.8,0.448,20,300,340,0.0,0.4,0.4
disclosed,m8_disc_42,0,B,42,8,X,buyer,300.0,400,344.8,0.448,21,280,370,-0.2,0.7,0.9
disclosed,m8_disc_42,0,B,42,9,X,buyer,300.0,400,355.7,0.557,28,350,350,0.5,0.5,0.0
disclosed,m8_disc_42,0,B,42,10,X,buyer,300.0,400,375.8,0.758,24,370,381,0.7,0.81,0.11
disclosed,m8_disc_42,0,B,42,11,X,buyer,300.0,400,387.1,0.871,22,380,400,0.8,1.0,0.2
disclosed,m8_disc_42,0,B,42,12,X,buyer,300.0,400,380.8,0.808,26,390,390,0.9,0.9,0.0
disclosed,m8_disc_42,0,B,42,13,Y,seller,300.0,200,308.8,-0.088,23,250,333,0.5,-0.33,-0.83
ladder1b,m7_lad1b_42,0,A,42,5,Y,seller,260.0,160,261.9,-0.019,14,260,265,-0.0,-0.05,-0.05
ladder1b,m7_lad1b_42,0,A,42,6,X,buyer,260.0,360,267.1,0.071,12,260,285,0.0,0.25,0.25
ladder1b,m7_lad1b_42,0,A,42,7,Y,seller,260.0,160,249.1,0.109,12,250,245,0.1,0.15,0.05
ladder1b,m7_lad1b_42,0,A,42,8,X,buyer,260.0,360,273.7,0.137,15,250,300,-0.1,0.4,0.5
ladder1b,m7_lad1b_42,0,A,42,9,Y,seller,260.0,160,240.9,0.191,24,230,262,0.3,-0.02,-0.32
ladder1b,m7_lad1b_42,0,A,42,10,Y,seller,260.0,160,237.8,0.222,17,230,238,0.3,0.22,-0.08
ladder1b,m7_lad1b_42,0,A,42,11,X,buyer,260.0,360,297.2,0.372,23,251,300,-0.09,0.4,0.49
ladder1b,m7_lad1b_42,0,A,42,12,X,buyer,260.0,360,347.7,0.877,23,350,359,0.9,0.99,0.09
ladder1b,m7_lad1b_42,0,A,42,13,X,buyer,260.0,360,359.0,0.99,18,359,359,0.99,0.99,0.0
ladder1b,m8_lad1b_42,0,B,42,5,Y,seller,300.0,200,208.9,0.911,22,199,209,1.01,0.91,-0.1
ladder1b,m8_lad1b_42,0,B,42,6,Y,seller,300.0,200,198.9,1.011,18,199,198,1.01,1.02,0.01
ladder1b,m8_lad1b_42,0,B,42,7,X,buyer,300.0,400,345.3,0.453,10,310,351,0.1,0.51,0.41
ladder1b,m8_lad1b_42,0,B,42,8,X,buyer,300.0,400,341.9,0.419,11,300,351,0.0,0.51,0.51
ladder1b,m8_lad1b_42,0,B,42,9,X,buyer,300.0,400,377.6,0.776,17,380,390,0.8,0.9,0.1
ladder1b,m8_lad1b_42,0,B,42,10,X,buyer,300.0,400,385.7,0.857,19,399,395,0.99,0.95,-0.04
ladder1b,m8_lad1b_42,0,B,42,11,X,buyer,300.0,400,371.1,0.711,14,350,397,0.5,0.97,0.47
ladder1b,m8_lad1b_42,0,B,42,12,X,buyer,300.0,400,380.3,0.803,15,360,392,0.6,0.92,0.32
ladder1b,m8_lad1b_42,0,B,42,13,Y,seller,300.0,200,197.2,1.028,18,200,199,1.0,1.01,0.01
ladder2,m7_lad2_42,0,A,42,5,Y,seller,260.0,160,160.4,0.996,19,170,159,0.9,1.01,0.11
ladder2,m7_lad2_42,0,A,42,6,X,buyer,260.0,360,280.6,0.206,18,290,300,0.3,0.4,0.1
ladder2,m7_lad2_42,0,A,42,7,Y,seller,260.0,160,158.8,1.012,17,158,159,1.02,1.01,-0.01
ladder2,m7_lad2_42,0,A,42,8,X,buyer,260.0,360,292.4,0.324,16,300,300,0.4,0.4,0.0
ladder2,m7_lad2_42,0,A,42,9,Y,seller,260.0,160,159.1,1.009,17,160,160,1.0,1.0,-0.0
ladder2,m7_lad2_42,0,A,42,10,Y,seller,260.0,160,158.9,1.011,16,158,159,1.02,1.01,-0.01
ladder2,m7_lad2_42,0,A,42,11,X,buyer,260.0,360,321.1,0.611,14,320,330,0.6,0.7,0.1
ladder2,m7_lad2_42,0,A,42,12,X,buyer,260.0,360,352.2,0.922,19,300,359,0.4,0.99,0.59
ladder2,m7_lad2_42,0,A,42,13,X,buyer,260.0,360,346.5,0.865,18,300,359,0.4,0.99,0.59
ladder2,m7_lad2_45,0,A,45,5,X,buyer,260.0,360,315.7,0.557,12,300,335,0.4,0.75,0.35
ladder2,m7_lad2_45,0,A,45,6,X,buyer,260.0,360,337.1,0.771,20,320,331,0.6,0.71,0.11
ladder2,m7_lad2_45,0,A,45,7,Y,seller,260.0,160,155.5,1.045,19,145,160,1.15,1.0,-0.15
