group,run_id,session,market,seed,period,state,side,uninformed_level,re,mean_price,discovery,n_trades,first_price,last_price,first_discovery,last_discovery,change_discovery,rung
ladder1b,m8_lad1b_42,0,B,42,13,Y,seller,300.0,200,197.2,1.028,18,200,199,1.0,1.01,0.01,1b
ladder2,m7_lad2_42,0,A,42,5,Y,seller,260.0,160,160.4,0.996,19,170,159,0.9,1.01,0.11,2
ladder2,m7_lad2_42,0,A,42,6,X,buyer,260.0,360,280.6,0.206,18,290,300,0.3,0.4,0.1,2
ladder2,m7_lad2_42,0,A,42,7,Y,seller,260.0,160,158.8,1.012,17,158,159,1.02,1.01,-0.01,2
ladder2,m7_lad2_42,0,A,42,8,X,buyer,260.0,360,292.4,0.324,16,300,300,0.4,0.4,0.0,2
ladder2,m7_lad2_42,0,A,42,9,Y,seller,260.0,160,159.1,1.009,17,160,160,1.0,1.0,-0.0,2
ladder2,m7_lad2_42,0,A,42,10,Y,seller,260.0,160,158.9,1.011,16,158,159,1.02,1.01,-0.01,2
ladder2,m7_lad2_42,0,A,42,11,X,buyer,260.0,360,321.1,0.611,14,320,330,0.6,0.7,0.1,2
ladder2,m7_lad2_42,0,A,42,12,X,buyer,260.0,360,352.2,0.922,19,300,359,0.4,0.99,0.59,2
ladder2,m7_lad2_42,0,A,42,13,X,buyer,260.0,360,346.5,0.865,18,300,359,0.4,0.99,0.59,2
ladder2,m7_lad2_45,0,A,45,5,X,buyer,260.0,360,315.7,0.557,12,300,335,0.4,0.75,0.35,2
ladder2,m7_lad2_45,0,A,45,6,X,buyer,260.0,360,337.1,0.771,20,320,331,0.6,0.71,0.11,2
ladder2,m7_lad2_45,0,A,45,7,Y,seller,260.0,160,155.5,1.045,19,145,160,1.15,1.0,-0.15,2
ladder2,m7_lad2_45,0,A,45,8,X,buyer,260.0,360,342.8,0.828,16,340,355,0.8,0.95,0.15,2
ladder2,m7_lad2_45,0,A,45,9,Y,seller,260.0,160,159.1,1.009,16,159,160,1.01,1.0,-0.01,2
ladder2,m7_lad2_45,0,A,45,10,Y,seller,260.0,160,159.0,1.01,16,159,159,1.01,1.01,-0.0,2
