group,run_id,session,market,seed,period,state,side,uninformed_level,re,mean_price,discovery,n_trades,first_price,last_price,first_discovery,last_discovery,change_discovery,sample
control,m7_ctrl_44,0,A,44,12,X,buyer,260.0,360,310.0,0.5,18,300,310,0.4,0.5,0.1,Symmetric markets A and B
control,m7_ctrl_44,0,A,44,13,Y,seller,260.0,160,193.5,0.665,23,200,150,0.6,1.1,0.5,Symmetric markets A and B
control,m8_ctrl_42,0,B,42,5,Y,seller,300.0,200,299.1,0.009,22,300,299,-0.0,0.01,0.01,Symmetric markets A and B
control,m8_ctrl_42,0,B,42,6,Y,seller,300.0,200,281.3,0.187,25,290,191,0.1,1.09,0.99,Symmetric markets A and B
control,m8_ctrl_42,0,B,42,7,X,buyer,300.0,400,300.0,0.0,12,300,300,0.0,0.0,0.0,Symmetric markets A and B
control,m8_ctrl_42,0,B,42,8,X,buyer,300.0,400,352.2,0.522,18,300,360,0.0,0.6,0.6,Symmetric markets A and B
control,m8_ctrl_42,0,B,42,9,X,buyer,300.0,400,353.0,0.53,23,300,372,0.0,0.72,0.72,Symmetric markets A and B
control,m8_ctrl_42,0,B,42,10,X,buyer,300.0,400,361.9,0.619,23,300,380,0.0,0.8,0.8,Symmetric markets A and B
control,m8_ctrl_42,0,B,42,11,X,buyer,300.0,400,364.5,0.645,24,251,349,-0.49,0.49,0.98,Symmetric markets A and B
control,m8_ctrl_42,0,B,42,12,X,buyer,300.0,400,383.6,0.836,19,379,395,0.79,0.95,0.16,Symmetric markets A and B
control,m8_ctrl_42,0,B,42,13,Y,seller,300.0,200,262.4,0.376,20,296,201,0.04,0.99,0.95,Symmetric markets A and B
control,m8_ctrl_43,0,B,43,5,Y,seller,300.0,200,252.0,0.48,24,300,200,-0.0,1.0,1.0,Symmetric markets A and B
control,m8_ctrl_43,0,B,43,6,Y,seller,300.0,200,227.5,0.725,32,300,179,-0.0,1.21,1.21,Symmetric markets A and B
