market,period,trade_index,n_trades_in_period,price,state,info,vbar,re_price,pi_price,side,D,separating,period_mean_recovered,period_mean_printed,mean_residual,quality_flag
1,6,10,12,285.0,X,insider,283.3333,272.0,283.0,seller,-0.14706,True,289.583,290.0,-0.417,ok
1,6,11,12,290.0,X,insider,283.3333,272.0,283.0,seller,-0.58824,True,289.583,290.0,-0.417,ok
1,6,12,12,290.0,X,insider,283.3333,272.0,283.0,seller,-0.58824,True,289.583,290.0,-0.417,ok
1,7,1,14,290.0,Y,insider,283.3333,320.0,320.0,buyer,0.18182,False,300.714,301.0,-0.286,ok
1,7,2,14,295.0,Y,insider,283.3333,320.0,320.0,buyer,0.31818,False,300.714,301.0,-0.286,ok
1,7,3,14,300.0,Y,insider,283.3333,320.0,320.0,buyer,0.45455,False,300.714,301.0,-0.286,ok
1,7,4,14,300.0,Y,insider,283.3333,320.0,320.0,buyer,0.45455,False,300.714,301.0,-0.286,ok
1,7,5,14,300.0,Y,insider,283.3333,320.0,320.0,buyer,0.45455,False,300.714,301.0,-0.286,ok
1,7,6,14,300.0,Y,insider,283.3333,320.0,320.0,buyer,0.45455,False,300.714,301.0,-0.286,ok
1,7,7,14,300.0,Y,insider,283.3333,320.0,320.0,buyer,0.45455,False,300.714,301.0,-0.286,ok
1,7,8,14,300.0,Y,insider,283.3333,320.0,320.0,buyer,0.45455,False,300.714,301.0,-0.286,ok
1,7,9,14,300.0,Y,insider,283.3333,320.0,320.0,buyer,0.45455,False,300.714,301.0,-0.286,ok
1,7,10,14,305.0,Y,insider,283.3333,320.0,320.0,buyer,0.59091,False,300.714,301.0,-0.286,ok
1,7,11,14,305.0,Y,insider,283.3333,320.0,320.0,buyer,0.59091,False,300.714,301.0,-0.286,ok
1,7,12,14,305.0,Y,insider,283.3333,320.0,320.0,buyer,0.59091,False,300.714,301.0,-0.286,ok
1,7,13,14,305.0,Y,insider,283.3333,320.0,320.0,buyer,0.59091,False,300.714,301.0,-0.286,ok
1,7,14,14,305.0,Y,insider,283.3333,320.0,320.0,buyer,0.59091,False,300.714,301.0,-0.286,ok
1,8,1,10,290.0,Y,insider,283.3333,262.0,283.0,seller,-0.3125,True,289.5,289.0,0.5,ok
1,8,2,10,290.0,Y,insider,283.3333,262.0,283.0,seller,-0.3125,True,289.5,289.0,0.5,ok
1,8,3,10,290.0,Y,insider,283.3333,262.0,283.0,seller,-0.3125,True,289.5,289.0,0.5,ok
1,8,4,10,290.0,Y,insider,283.3333,262.0,283.0,seller,-0.3125,True,289.5,289.0,0.5,ok
1,8,5,10,290.0,Y,insider,283.3333,262.0,283.0,seller,-0.3125,True,289.5,289.0,0.5,ok
1,8,6,10,290.0,Y,insider,283.3333,262.0,283.0,seller,-0.3125,True,289.5,289.0,0.5,ok
1,8,7,10,290.0,Y,insider,283.3333,262.0,283.0,seller,-0.3125,True,289.5,289.0,0.5,ok
1,8,8,10,285.0,Y,insider,283.3333,262.0,283.0,seller,-0.07813,True,289.5,289.0,0.5,ok
1,8,9,10,285.0,Y,insider,283.3333,262.0,283.0,seller,-0.07813,True,289.5,289.0,0.5,ok
1,8,10,10,295.0,Y,insider,283.3333,262.0,283.0,seller,-0.54688,True,289.5,289.0,0.5,ok
1,9,1,16,300.0,Y,all,283.3333,338.0,338.0,buyer,0.30488,False,309.688,310.0,-0.312,ok
1,9,2,16,300.0,Y,all,283.3333,338.0,338.0,buyer,0.30488,False,309.688,310.0,-0.312,ok
1,9,3,16,300.0,Y,all,283.3333,338.0,338.0,buyer,0.30488,False,309.688,310.0,-0.312,ok
1,9,4,16,300.0,Y,all,283.3333,338.0,338.0,buyer,0.30488,False,309.688,310.0,-0.312,ok
1,9,5,16,300.0,Y,all,283.3333,338.0,338.0,buyer,0.30488,False,309.688,310.0,-0.312,ok
1,9,6,16,300.0,Y,all,283.3333,338.0,338.0,buyer,0.30488,False,309.688,310.0,-0.312,ok
1,9,7,16,300.0,Y,all,283.3333,338.0,338.0,buyer,0.30488,False,309.688,310.0,-0.312,ok
1,9,8,16,305.0,Y,all,283.3333,338.0,338.0,buyer,0.39634,False,309.688,310.0,-0.312,ok
1,9,9,16,305.0,Y,all,283.3333,338.0,338.0,buyer,0.39634,False,309.688,310.0,-0.312,ok
1,9,10,16,305.0,Y,all,283.3333,338.0,338.0,buyer,0.39634,False,309.688,310.0,-0.312,ok
1,9,11,16,305.0,Y,all,283.3333,338.0,338.0,buyer,0.39634,False,309.688,310.0,-0.312,ok
1,9,12,16,305.0,Y,all,283.3333,338.0,338.0,buyer,0.39634,False,309.688,310.0,-0.312,ok
